Ticker,Company,Market Cap (USD),Primary Focus
GOOGL,Alphabet Inc.,2.1T,AI research & Cloud
MSFT,Microsoft Corp.,3.5T,Cloud AI & Software
AMZN,Amazon.com Inc.,2.3T,Cloud AI services & e-commerce
META,Meta Platforms,1.75T,AI & AR/VR
NVDA,NVIDIA Corp.,3.46T,AI Hardware
IBM,IBM Corp.,250B,Quantum Computing & Enterprise AI
PLTR,Palantir Tech.,300B,Data Analytics & AI software
AI,C3.ai Inc.,3.4B,Enterprise AI SaaS
INTC,Intel Corp.,88B,Semiconductors
AMD,AMD Inc.,188B,Semiconductors
IONQ,IonQ Inc.,3.6B,Quantum Computing
RGTI,Rigetti Computing,1.5B,Quantum Computing
QBTS,D-Wave Quantum,3.5B,Quantum Computing
BIDU,Baidu Inc.,29B,AI Research & Internet
