Date,Open,High,Low,Close,Volume,RSI,Signal,Equity
2022-01-04,39.20000076293945,41.25,39.04999923706055,40.5,1094660,,0,10000.0
2022-01-05,39.900001525878906,40.0,35.29999923706055,35.5,1766640,,0,10000.0
2022-01-06,33.349998474121094,35.150001525878906,32.650001525878906,34.25,1407900,,0,10000.0
2022-01-07,33.54999923706055,34.75,32.400001525878906,33.04999923706055,1554940,,0,10000.0
2022-01-10,31.149999618530277,33.25,30.799999237060547,33.04999923706055,1560200,,0,10000.0
2022-01-11,32.900001525878906,34.599998474121094,31.924999237060547,33.95000076293945,1318940,,0,10000.0
2022-01-12,35.349998474121094,36.20000076293945,33.95000076293945,34.599998474121094,1126100,,0,10000.0
2022-01-13,35.0,35.400001525878906,32.150001525878906,32.29999923706055,950920,,0,10000.0
2022-01-14,31.75,33.70000076293945,31.5,33.099998474121094,809180,,0,10000.0
2022-01-18,32.29999923706055,32.599998474121094,30.825000762939453,30.899999618530277,1000820,,0,10000.0
2022-01-19,31.25,32.13999938964844,30.25,30.350000381469727,803840,,0,10000.0
2022-01-20,31.100000381469727,33.45000076293945,30.899999618530277,31.149999618530277,1003000,,0,10000.0
2022-01-21,28.850000381469727,29.399999618530277,26.450000762939453,26.850000381469727,2196000,,0,10000.0
2022-01-24,22.75,27.100000381469727,22.600000381469727,27.0,2918140,22.758619419601203,1,10000.0
2022-01-25,26.825000762939453,28.299999237060547,25.75,27.399999618530277,1070680,18.04877063902991,1,10148.148006863066
2022-01-26,29.350000381469727,31.950000762939453,28.200000762939453,28.799999237060547,3296640,30.177505376693603,0,10666.6663840965
2022-01-27,29.25,29.450000762939453,25.5,25.600000381469727,1722220,27.055695107421215,1,9481.481622766565
2022-01-28,25.98500061035156,27.799999237060547,24.700000762939453,27.600000381469727,1673300,36.13231278006612,0,10222.222363507306
2022-01-31,27.600000381469727,30.149999618530277,27.100000381469727,29.700000762939453,1065060,42.298851381096284,0,11000.000282570169
2022-02-01,31.5,33.5,29.700000762939453,32.400001525878906,2705020,46.709129958764,0,12000.000565140335
2022-02-02,32.70000076293945,32.75,29.399999618530277,30.450000762939453,1533800,41.649902207106024,0,11277.778060347946
2022-02-03,29.549999237060547,30.399999618530277,28.75,28.899999618530277,941980,42.9460578778298,0,10703.703562418621
2022-02-04,30.200000762939453,32.95000076293945,28.950000762939453,32.45000076293945,2202900,48.7895758880431,0,12018.518801088687
2022-02-07,35.150001525878906,37.20000076293945,34.900001525878906,35.900001525878906,2829480,58.89680042610575,0,13296.296861436633
2022-02-08,35.29999923706055,36.82500076293945,34.599998474121094,36.75,1504400,61.26760511354803,0,13611.111111111111
2022-02-09,37.25,39.79999923706055,37.0,39.09999847412109,1871920,63.2721187969374,0,14481.480916341143
2022-02-10,37.09999847412109,41.70000076293945,36.75,38.20000076293945,2829920,71.37476746328714,-1,14148.148430718316
2022-02-11,38.59999847412109,39.25,35.150001525878906,35.650001525878906,2066400,64.93955516013298,0,14148.148430718316
