Symbol,Strategy,Final Equity,Percent Return
AI,sma_crossover,11542.88,15.43
AMD,sma_crossover,2864.34,-71.36
AMZN,sma_crossover,5018.27,-49.82
BIDU,sma_crossover,5950.9,-40.49
BNB-BTC,sma_crossover,10098.84,0.99
BNB-ETH,sma_crossover,18266.51,82.67
BTC-USD,sma_crossover,35355.95,253.56
COIN,sma_crossover,28681.04,186.81
ETH-BTC,sma_crossover,3460.24,-65.4
ETH-USD,sma_crossover,9077.28,-9.23
GOOGL,sma_crossover,8485.47,-15.15
HUT,sma_crossover,35632.47,256.32
IBM,sma_crossover,18390.76,83.91
INTC,sma_crossover,5974.48,-40.26
IONQ,sma_crossover,15358.42,53.58
LTC-BTC,sma_crossover,7522.96,-24.77
MARA,sma_crossover,25135.47,151.35
META,sma_crossover,6237.86,-37.62
MSFT,sma_crossover,6886.0,-31.14
MSTR,sma_crossover,192940.6,1829.41
NVDA,sma_crossover,15647.25,56.47
PLTR,sma_crossover,45769.44,357.69
QBTS,sma_crossover,28312.35,183.12
RGTI,sma_crossover,49208.22,392.08
RIOT,sma_crossover,22988.74,129.89
SOL-ETH,sma_crossover,57823.03,478.23
TSLA,sma_crossover,9283.07,-7.17
