Symbol,Strategy,Start Equity,End Equity,Percent Return,Total Trades,Win Rate,Sharpe Ratio,Max Drawdown
AI,sma_crossover,10000,7451.76,-25.48,29,20.69,0.17,-55.01
AMD,sma_crossover,10000,9066.19,-9.34,28,39.29,0.09,-40.19
AMZN,sma_crossover,10000,11097.09,10.97,20,50.0,0.25,-30.53
BIDU,sma_crossover,10000,5251.78,-47.48,29,31.03,-0.35,-57.88
BNB-BTC,sma_crossover,10000,6865.8,-31.34,39,35.9,-0.18,-43.09
BNB-ETH,sma_crossover,10000,13658.34,36.58,46,34.78,0.36,-46.04
BTC-USD,sma_crossover,10000,13431.27,34.31,36,27.78,0.35,-56.81
COIN,sma_crossover,10000,7914.66,-20.85,29,27.59,0.19,-75.62
ETH-BTC,sma_crossover,10000,4747.15,-52.53,35,25.71,-0.78,-62.64
ETH-USD,sma_crossover,10000,6008.2,-39.92,33,27.27,-0.1,-50.46
GOOGL,sma_crossover,10000,7772.12,-22.28,28,39.29,-0.22,-40.91
HUT,sma_crossover,10000,11726.67,17.27,23,26.09,0.43,-67.86
IBM,sma_crossover,10000,18639.7,86.4,22,50.0,1.18,-15.67
INTC,sma_crossover,10000,4013.66,-59.86,29,27.59,-0.8,-61.13
IONQ,sma_crossover,10000,17155.94,71.56,24,29.17,0.59,-62.33
LTC-BTC,sma_crossover,10000,2891.15,-71.09,43,20.93,-0.65,-78.34
MARA,sma_crossover,10000,14322.14,43.22,24,25.0,0.52,-82.16
META,sma_crossover,10000,18672.88,86.73,22,45.45,0.78,-45.91
MSFT,sma_crossover,10000,7759.87,-22.4,30,33.33,-0.31,-29.67
MSTR,sma_crossover,10000,61005.1,510.05,23,34.78,1.11,-64.28
NVDA,sma_crossover,10000,25695.68,156.96,25,36.0,0.89,-52.5
PLTR,sma_crossover,10000,17660.91,76.61,25,32.0,0.59,-54.15
QBTS,sma_crossover,10000,7323.71,-26.76,28,25.0,0.41,-78.85
RGTI,sma_crossover,10000,23002.18,130.02,27,25.93,0.76,-77.39
RIOT,sma_crossover,10000,6047.24,-39.53,26,26.92,0.09,-69.83
SOL-ETH,sma_crossover,10000,58854.8,488.55,34,44.12,1.08,-39.96
TSLA,sma_crossover,10000,17947.65,79.48,24,33.33,0.65,-41.13
AI,rsi,10000,5897.22,-41.03,9,33.33,-0.03,-60.02
AMD,rsi,10000,10189.32,1.89,10,70.0,0.22,-52.96
AMZN,rsi,10000,6963.57,-30.36,7,57.14,-0.23,-51.29
BIDU,rsi,10000,13453.13,34.53,11,54.55,0.41,-39.86
BNB-BTC,rsi,10000,7787.81,-22.12,16,62.5,-0.11,-51.97
BNB-ETH,rsi,10000,22056.58,120.57,16,68.75,0.71,-42.17
BTC-USD,rsi,10000,12619.57,26.2,15,60.0,0.31,-55.34
COIN,rsi,10000,6393.95,-36.06,9,55.56,0.15,-82.9
ETH-BTC,rsi,10000,7463.91,-25.36,17,64.71,-0.13,-52.81
ETH-USD,rsi,10000,12094.27,20.94,17,70.59,0.31,-67.99
GOOGL,rsi,10000,11750.58,17.51,9,66.67,0.33,-32.64
HUT,rsi,10000,4450.06,-55.5,9,44.44,0.07,-86.99
IBM,rsi,10000,15650.95,56.51,10,80.0,0.94,-13.87
INTC,rsi,10000,11071.28,10.71,12,66.67,0.28,-57.41
IONQ,rsi,10000,12371.42,23.71,11,54.55,0.42,-74.05
LTC-BTC,rsi,10000,10796.8,7.97,14,57.14,0.23,-59.8
MARA,rsi,10000,4505.06,-54.95,9,44.44,0.11,-84.2
META,rsi,10000,7060.15,-29.4,8,62.5,-0.1,-64.49
MSFT,rsi,10000,13835.91,38.36,11,72.73,0.58,-20.56
MSTR,rsi,10000,52419.56,424.2,12,83.33,1.08,-52.88
NVDA,rsi,10000,24576.23,145.76,9,77.78,0.93,-35.64
PLTR,rsi,10000,56332.18,463.32,13,69.23,1.28,-47.75
QBTS,rsi,10000,3728.2,-62.72,9,66.67,0.17,-94.06
RGTI,rsi,10000,2702.23,-72.98,8,37.5,-0.09,-86.81
RIOT,rsi,10000,5884.54,-41.15,9,44.44,0.1,-79.18
SOL-ETH,rsi,10000,4306.11,-56.94,13,53.85,-0.2,-79.56
TSLA,rsi,10000,13073.92,30.74,12,66.67,0.41,-59.76
