Symbol,Strategy,Start Equity,End Equity,Percent Return,Total Trades,Win Rate,Sharpe Ratio,Max Drawdown
AI,pnshoot,100000,100000.87,0.0,3,66.67,-938.4,0.02
AMD,pnshoot,100000,99995.59,-0.0,2,50.0,-366.44,0.03
AMZN,pnshoot,100000,100016.16,0.02,2,0.0,-65.15,0.02
BIDU,pnshoot,100000,99983.85,-0.02,3,33.33,-133.14,0.03
BNB-BTC,pnshoot,100000,100000.0,0.0,3,33.33,-1153654.81,0.0
BNB-ETH,pnshoot,100000,99999.99,-0.0,3,33.33,-73637.2,0.0
BTC-USD,pnshoot,100000,103866.29,3.87,2,100.0,-0.03,11.62
COIN,pnshoot,100000,100075.74,0.08,2,100.0,-35.54,0.1
ETH-BTC,pnshoot,100000,100000.0,-0.0,3,66.67,-443035.56,0.0
ETH-USD,pnshoot,100000,100300.1,0.3,4,50.0,-2.62,0.87
GOOGL,pnshoot,100000,100006.79,0.01,2,50.0,-206.67,0.02
HUT,pnshoot,100000,100000.9,0.0,2,50.0,-2565.42,0.01
IBM,pnshoot,100000,99992.24,-0.01,1,0.0,-298.32,0.01
INTC,pnshoot,100000,99997.54,-0.0,1,0.0,-939.36,0.01
IONQ,pnshoot,100000,99999.51,-0.0,1,0.0,-4713.64,0.0
LTC-BTC,pnshoot,100000,100000.0,-0.0,5,20.0,-4289864.51,0.0
MARA,pnshoot,100000,100000.56,0.0,1,100.0,-4123.35,0.01
META,pnshoot,100000,100023.42,0.02,1,100.0,-98.03,0.02
MSFT,pnshoot,100000,99989.44,-0.01,2,50.0,-74.72,0.04
MSTR,pnshoot,100000,100000.85,0.0,1,100.0,-2706.81,0.01
NVDA,pnshoot,100000,99993.01,-0.01,3,66.67,-43.64,0.04
QBTS,pnshoot,100000,100000.01,0.0,3,66.67,-3646.17,0.0
RGTI,pnshoot,100000,100000.1,0.0,2,50.0,-23093.44,0.0
RIOT,pnshoot,100000,100005.49,0.01,3,66.67,-280.35,0.01
SOL-ETH,pnshoot,100000,99999.97,-0.0,6,16.67,-221574.27,0.0
TSLA,pnshoot,100000,100051.45,0.05,2,100.0,-58.41,0.07
