Symbol,Strategy,Start Equity,End Equity,Percent Return,Total Trades,Win Rate,Sharpe Ratio,Max Drawdown
AI,rsi,100000,100009.39,0.01,5,60.0,-89.82,0.02
AMD,rsi,100000,99996.19,-0.0,4,50.0,-52.38,0.09
AMZN,rsi,100000,100030.06,0.03,4,50.0,-34.34,0.07
BIDU,rsi,100000,99995.73,-0.0,3,33.33,-63.27,0.08
BNB-BTC,rsi,100000,99999.99,-0.0,2,0.0,-323974.3,0.0
BNB-ETH,rsi,100000,100000.14,0.0,6,83.33,-13142.53,0.0
BTC-USD,rsi,100000,121123.39,21.12,6,66.67,0.49,15.13
COIN,rsi,100000,100078.06,0.08,4,50.0,-10.69,0.17
ETH-BTC,rsi,100000,99999.97,-0.0,5,40.0,-109804.93,0.0
ETH-USD,rsi,100000,100022.0,0.02,6,66.67,-3.65,1.34
GOOGL,rsi,100000,99978.63,-0.02,3,33.33,-44.85,0.06
HUT,rsi,100000,99996.02,-0.0,5,60.0,-118.62,0.03
IBM,rsi,100000,100102.4,0.1,6,83.33,-64.46,0.02
INTC,rsi,100000,99994.08,-0.01,4,25.0,-113.96,0.03
IONQ,rsi,100000,100001.88,0.0,4,25.0,-312.31,0.01
LTC-BTC,rsi,100000,100000.0,-0.0,4,25.0,-2294132.65,0.0
MARA,rsi,100000,99993.48,-0.01,4,50.0,-146.47,0.03
META,rsi,100000,99982.59,-0.02,3,33.33,-9.09,0.23
MSFT,rsi,100000,100096.76,0.1,3,33.33,-22.81,0.1
MSTR,rsi,100000,100152.17,0.15,4,50.0,-16.8,0.1
NVDA,rsi,100000,100015.15,0.02,2,0.0,-94.68,0.02
PLTR,rsi,100000,99995.42,-0.0,1,0.0,-301.37,0.01
QBTS,rsi,100000,99998.3,-0.0,3,66.67,-1097.23,0.01
RGTI,rsi,100000,99992.63,-0.01,4,75.0,-237.87,0.01
RIOT,rsi,100000,100004.2,0.0,6,66.67,-173.21,0.02
SOL-ETH,rsi,100000,100000.07,0.0,9,55.56,-49410.9,0.0
TSLA,rsi,100000,100092.53,0.09,6,66.67,-14.63,0.14
