Symbol,Strategy,Start Equity,End Equity,Percent Return,Total Trades,Win Rate,Sharpe Ratio,Max Drawdown
AI,sma_crossover,10000,7451.76,-25.48,29,20.69,0.17,-55.01
AMD,sma_crossover,10000,9066.19,-9.34,28,39.29,0.09,-40.19
AMZN,sma_crossover,10000,11097.09,10.97,20,50.0,0.25,-30.53
BIDU,sma_crossover,10000,5251.78,-47.48,29,31.03,-0.35,-57.88
BNB-BTC,sma_crossover,10000,6865.8,-31.34,39,35.9,-0.18,-43.09
BNB-ETH,sma_crossover,10000,13658.34,36.58,46,34.78,0.36,-46.04
BTC-USD,sma_crossover,10000,13431.27,34.31,36,27.78,0.35,-56.81
COIN,sma_crossover,10000,7914.66,-20.85,29,27.59,0.19,-75.62
ETH-BTC,sma_crossover,10000,4747.15,-52.53,35,25.71,-0.78,-62.64
ETH-USD,sma_crossover,10000,6008.2,-39.92,33,27.27,-0.1,-50.46
GOOGL,sma_crossover,10000,7772.12,-22.28,28,39.29,-0.22,-40.91
HUT,sma_crossover,10000,11726.67,17.27,23,26.09,0.43,-67.86
IBM,sma_crossover,10000,18639.7,86.4,22,50.0,1.18,-15.67
INTC,sma_crossover,10000,4013.66,-59.86,29,27.59,-0.8,-61.13
IONQ,sma_crossover,10000,17155.94,71.56,24,29.17,0.59,-62.33
LTC-BTC,sma_crossover,10000,2891.15,-71.09,43,20.93,-0.65,-78.34
MARA,sma_crossover,10000,14322.14,43.22,24,25.0,0.52,-82.16
META,sma_crossover,10000,18672.88,86.73,22,45.45,0.78,-45.91
MSFT,sma_crossover,10000,7759.87,-22.4,30,33.33,-0.31,-29.67
MSTR,sma_crossover,10000,61005.1,510.05,23,34.78,1.11,-64.28
NVDA,sma_crossover,10000,25695.68,156.96,25,36.0,0.89,-52.5
PLTR,sma_crossover,10000,17660.91,76.61,25,32.0,0.59,-54.15
QBTS,sma_crossover,10000,7323.71,-26.76,28,25.0,0.41,-78.85
RGTI,sma_crossover,10000,23002.18,130.02,27,25.93,0.76,-77.39
RIOT,sma_crossover,10000,6047.24,-39.53,26,26.92,0.09,-69.83
SOL-ETH,sma_crossover,10000,58854.8,488.55,34,44.12,1.08,-39.96
TSLA,sma_crossover,10000,17947.65,79.48,24,33.33,0.65,-41.13
